Arthrobotrys_conoides_TWF506	F81238F4
Arthrobotrys_entomopaga_CBS642.8	F4907269
Arthrobotrys_flagrans_CBS_H-5679	F104F34E
Arthrobotrys_iridis_CGMCC_3.6761	F3B8DD6A
Arthrobotrys_megalospora_TWF281	FFF1B0DC
Arthrobotrys_musiformis_TWF481	F546F14A
Arthrobotrys_pseudoclavata_CGMCC_3.6756	FAE17ECD
Arthrobotrys_sinensis_CGMCC_3.6755	FC465438
Arthrobotrys_sphaeroides_CGMCC_3.6774	F0CBC149
Arthrocladium_fulminans_CBS_136243	F310531C
Arthroderma_sp._MBC_290_MBC_290	F0C54309
Arthroderma_sp._MBC_293_MBC_293	FFAAF8FA
Arthroderma_sp._MBC_929_MBC_929	F20DF61D
Arthroderma_sp._MBC_961_MBC_961	F8E00078
Arthroderma_sp._PD_2_PD_2	F1B3E81C
Arthroderma_uncinatum_CBS_119779	FA49FE15
Arthromyces_matolae_D32	FD0BC9DF
Articulospora_tetracladia_NNIBRFG329	FB72CF39
Artomyces_pyxidatus_HHB10654	F48E7C68
Arxiozyma_bovina_CBS_16326	F87D9298
Arxiozyma_heterogenica_C57BL_6	F67B9B63
Arxiozyma_pintolopesii	F4914448
Arxiozyma_slooffiae_ABBL	F4B223C1
Arxiozyma_telluris_NRRL_Y-4302	FE617678
Aschersonia_sp._MBC_508_MBC_508	FD2AC086
Aschersonia_sp._MBC_593_MBC_593	F1D23492
Aschersonia_sp._MBC_610_MBC_610	FE1CCF9E
Aschersonia_sp._MBC_612_MBC_612	FE910619
Aschersonia_sp._MBC_622_MBC_622	FA448A77
Aschersonia_sp._MBC_710_MBC_710	F2C9845E
Aschersonia_sp._MBC_735_MBC_735	FEA06AC9
Aschersonia_sp._MBC_819_MBC_819	FB10C104
Aschersonia_sp._MBC_877_MBC_877	F5F6C9F8
Ascobolus_immersus_RN42	FC82CE09
Ascobotryozyma_americana_CBS_8560	F0F8C45E
Ascobotryozyma_cognata_CBS_8753	FBC91FA0
Ascochyta_clinopodiicola_IMI_359910	F7520A92
Ascochyta_fabae_247_15	F1D218CE
Ascochyta_koolunga_KIN-16-703	F3EE2CB6
Ascochyta_lentis_Al4	FEBE0F84
Ascochyta_pisi_HNA23	F14CC972
Ascochyta_rabiei_Me14	FB20EC24
Ascochyta_viciae_FOR-16-616	F9E61B0E
Ascochyta_viciae-villosae_ONG-16-641	FE8FD2AF
Ascocoryne_sarcoides_NRRL_50072	F2293B97
Ascodesmis_nigricans_CBS_389.68	F6720CE4
Ascodesmis_sphaerospora_NRRL_22422	F0635A13
Ascoidea_asiatica_JCM_7603	F1927663
